Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-7,0-5,0-10,0-4,0,0-2,0-9,0-2,0,0-22
2,8-10,6-7,11-12,5,1-2,3,10-12,3-4,1,23-27
3,11-14,8-9,13-14,6-7,3-5,4,13-15,5,2,28-33
4,15-19,10-11,15-16,8-9,6-9,5,16-18,6,3,34-39
5,20-24,12-13,17-18,10-11,10-13,6-7,19-21,7,4-5,40-46
6,25-29,14-15,19-20,12-13,14-17,8,22-24,8-9,6-7,47-52
7,30-35,16-18,21-22,14,18-21,9-10,25-27,10-11,8,53-58
8,36-40,19-20,23-24,15-16,22-24,11,28-30,12-13,9-10,59-64
9,41-44,21-22,25-27,17-18,25-28,12,31-33,14-15,11-12,65-70
10,45-48,23,28-29,19,29-31,13-14,34-35,16-17,13,71-75
11,49-53,24-25,30-31,20-21,32-35,15,36-37,18,14-15,76-80
12,54-56,26,32,22,36-38,16,38-40,19-20,16,81-86
13,57-58,27-28,33,23,39-41,17,41-43,21,17-18,87-91
14,59-60,29,34-35,24,42-43,18,44-45,22,19-20,92-95
15,61-62,30,36-37,-,44-46,19,46-47,23,21,96-100
16,63,31,38,25,47-48,20,48-49,24,22,101-104
17,64,32,39-40,-,49-50,-,50-51,25,23,105-107
18,65,33,41,26,51-52,21,52-53,-,24,108-110
19,66,34-36,42-48,-,53-57,22,54-60,26,25-26,111-135
