Sum of scaled score,,FSIQ,,Percentile rank,Confidence interval (95%)
10,,40,,<.1,37-45
11,,41,,<.1,38-46
12,,42,,<.1,39-47
13,,42,,<.1,39-47
14,,43,,<.1,40-48
15,,44,,<.1,41-49
16,,44,,<.1,41-49
17,,45,,<.1,42-50
18,,46,,<.1,43-51
19,,46,,<.1,43-51
20,,47,,<.1,44-52
21,,48,,<.1,45-53
22,,48,,<.1,45-53
23,,49,,<.1,46-54
24,,50,,<.1,47-55
25,,50,,<.1,47-55
26,,51,,0.1,48-56
27,,51,,0.1,48-56
28,,52,,0.1,49-57
29,,53,,0.1,50-58
30,,53,,0.1,50-58
31,,54,,0.1,51-49
32,,55,,0.1,52-60
33,,55,,0.1,52-60
34,,56,,0.2,53-62
35,,57,,0.2,54-62
36,,57,,0.3,54-62
37,,58,,0.3,55-63
38,,59,,0.3,56-64
39,,59,,0.4,56-64
40,,60,,0.5,57-65
41,,61,,0.5,58-66
42,,61,,1,58-66
43,,62,,1,59-67
44,,63,,1,60-68
45,,63,,1,60-68
46,,64,,1,61-69
47,,65,,1,62-70
48,,65,,1,62-70
49,,66,,1,63-71
50,,67,,1,64-72
51,,67,,1,64-72
52,,68,,2,65-73
53,,69,,2,66-74
54,,70,,2,67-75
55,,70,,2,67-75
56,,71,,3,68-76
57,,71,,3,68-76
58,,72,,3,68-77
59,,72,,3,68-77
60,,73,,4,69-78
61,,74,,4,70-79
62,,74,,4,70-79
63,,75,,5,71-80
64,,75,,5,71-80
65,,76,,5,72-81
66,,77,,6,73-82
67,,77,,6,73-82
68,,78,,7,74-83
69,,79,,8,75-83
70,,79,,8,75-83
71,,80,,9,76-84
72,,80,,9,76-84
73,,81,,10,77-85
74,,82,,12,78-86
75,,82,,12,78-86
76,,83,,13,79-87
77,,84,,14,80-88
78,,84,,14,80-88
79,,85,,16,81-89
80,,86,,18,82-90
81,,86,,18,82-90
82,,87,,19,83-91
83,,88,,21,84-92
84,,89,,23,85-93
85,,89,,23,85-93
86,,90,,25,86-94
87,,91,,27,87-95
88,,92,,30,88-96
89,,92,,30,88-96
90,,93,,32,89-97
91,,94,,34,90-98
92,,94,,34,90-98
93,,95,,37,91-99
94,,96,,39,92-100
95,,96,,39,92-100
96,,97,,42,94-102
97,,98,,45,94-102
98,,98,,45,94-102
99,,99,,47,95-103
100,,100,,50,96-104
101,,100,,50,96-104
102,,101,,53,97-105
103,,102,,55,98-106
104,,102,,55,98-106
105,,103,,58,99-107
106,,104,,61,100-108
107,,104,,61,100-108
108,,105,,63,101-109
109,,106,,66,102-110
110,,106,,66,102-110
111,,107,,68,103-111
112,,108,,70,104-112
113,,108,,70,104-112
114,,109,,73,105-113
115,,110,,75,106-114
116,,110,,75,106-114
117,,111,,77,107-115
118,,112,,79,108-116
119,,112,,79,108-116
120,,113,,81,109-117
121,,114,,82,110-118
122,,115,,84,111-119
123,,115,,84,111-119
124,,116,,86,112-120
125,,117,,87,113-121
126,,117,,87,113-121
127,,118,,88,114-122
128,,119,,90,115-123
129,,120,,91,116-124
130,,121,,92,117-125
131,,121,,92,117-125
132,,122,,93,117-126
133,,123,,94,118-127
134,,124,,95,119-128
135,,125,,95,120-129
136,,126,,96,121-130
137,,126,,96,121-130
138,,127,,96,122-131
139,,128,,97,123-132
140,,129,,97,124-132
141,,130,,98,125-133
142,,130,,98,125-133
143,,131,,98,126-134
144,,132,,98,127-134
145,,133,,99,128-136
146,,133,,99,128-136
147,,134,,99,129-137
148,,135,,99,130-138
149,,136,,99,131-139
150,,136,,99,131-139
151,,137,,99,132-140
152,,138,,99,133-141
153,,139,,99.5,134-142
154,,139,,99.5,134-142
155,,140,,99.6,135-143
156,,141,,99.7,136-144
157,,141,,99.7,136-144
158,,142,,99.7,137-145
159,,142,,99.8,137-145
160,,143,,99.8,138-146
161,,144,,99.8,139-147
162,,145,,99.9,140-148
163,,145,,99.9,140-148
164,,146,,99.9,141-149
165,,147,,99.9,142-150
166,,148,,99.9,143-151
167,,148,,99.9,143-151
168,,149,,99.9,144-152
169,,150,,>99.9,145-153
170,,151,,>99.9,146-154
171,,151,,>99.9,146-154
172,,152,,>99.9,147-155
173,,153,,>99.9,148-156
174,,154,,>99.9,149-157
175,,154,,>99.9,149-157
176,,155,,>99.9,150-158
177,,156,,>99.9,151-159
178,,157,,>99.9,152-160
179,,157,,>99.9,152-160
180,,158,,>99.9,153-161
181,,159,,>99.9,154-162
182,,160,,>99.9,155-163
183,,160,,>99.9,155-163
184,,160,,>99.9,155-163
185,,160,,>99.9,155-163
186,,160,,>99.9,155-163
187,,160,,>99.9,155-163
188,,160,,>99.9,155-163
189,,160,,>99.9,155-163
190,,160,,>99.9,155-163
